Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
110,2g,4KB,60% Seq 0% Read,60,10,0,64,1,/dev/nvme0n1,
111,2g,4KB,30% Seq 0% Read,60,10,0,64,1,/dev/nvme0n1,
112,2g,4KB,0% Seq 0% Read,60,10,0,64,1,/dev/nvme0n1,
113,1g,4KB,100% Seq 100% Read,60,10,0,128,1,/dev/nvme0n1,
114,1g,4KB,60% Seq 100% Read,60,10,0,128,1,/dev/nvme0n1,
115,1g,4KB,30% Seq 100% Read,60,10,0,128,1,/dev/nvme0n1,
116,1g,4KB,0% Seq 100% Read,60,10,0,128,1,/dev/nvme0n1,
117,1g,4KB,100% Seq 60% Read,60,10,0,128,1,/dev/nvme0n1,
118,1g,4KB,60% Seq 60% Read,60,10,0,128,1,/dev/nvme0n1,
119,1g,4KB,30% Seq 60% Read,60,10,0,128,1,/dev/nvme0n1,
120,1g,4KB,0% Seq 60% Read,60,10,0,128,1,/dev/nvme0n1,
121,1g,4KB,100% Seq 30% Read,60,10,0,128,1,/dev/nvme0n1,
122,1g,4KB,60% Seq 30% Read,60,10,0,128,1,/dev/nvme0n1,
123,1g,4KB,30% Seq 30% Read,60,10,0,128,1,/dev/nvme0n1,
124,1g,4KB,0% Seq 30% Read,60,10,0,128,1,/dev/nvme0n1,
125,1g,4KB,100% Seq 0% Read,60,10,0,128,1,/dev/nvme0n1,
126,1g,4KB,60% Seq 0% Read,60,10,0,128,1,/dev/nvme0n1,
127,1g,4KB,30% Seq 0% Read,60,10,0,128,1,/dev/nvme0n1,
128,1g,4KB,0% Seq 0% Read,60,10,0,128,1,/dev/nvme0n1,
